customer_id,senior_citizen,tenure_months,contract,internet_service,tech_support,paperless_billing,payment_method,monthly_charges,total_charges,churn
C00000,0,19,One year,Fiber optic,Yes,Yes,Credit card,100.31,1905.89,0
C00001,0,42,Month-to-month,No,No,Yes,Electronic check,19.12,803.04,0
C00002,0,70,Two year,Fiber optic,No,No,Electronic check,63.43,4440.1,0
C00003,0,51,One year,Fiber optic,Yes,No,Mailed check,101.45,5173.95,0
C00004,0,22,Month-to-month,No,Yes,No,Bank transfer,22.77,500.94,0
C00005,0,49,Two year,Fiber optic,No,No,Electronic check,87.06,4265.94,0
C00006,0,70,One year,No,No,No,Electronic check,15.0,1050.0,0
C00007,0,17,One year,DSL,Yes,Yes,Mailed check,42.63,724.71,0
C00008,1,16,Month-to-month,DSL,No,Yes,Bank transfer,45.95,735.2,0
C00009,1,2,Month-to-month,Fiber optic,No,No,Credit card,102.79,205.58,0
C00010,1,61,Month-to-month,DSL,Yes,Yes,Credit card,56.61,3453.21,0
C00011,0,60,Two year,No,No,Yes,Mailed check,22.43,1345.8,0
C00012,0,30,One year,DSL,Yes,Yes,Mailed check,64.47,1934.1,0
C00013,0,63,Two year,Fiber optic,Yes,No,Credit card,75.37,4748.31,0
C00014,0,47,Month-to-month,DSL,No,Yes,Electronic check,62.32,2929.04,0
C00015,0,71,Month-to-month,No,Yes,Yes,Credit card,21.91,1555.61,0
C00016,0,67,One year,Fiber optic,No,No,Electronic check,79.2,5306.4,0
C00017,0,70,Month-to-month,DSL,Yes,No,Mailed check,66.39,4647.3,0
C00018,0,28,Two year,DSL,No,Yes,Electronic check,48.54,1359.12,0
C00019,0,46,One year,Fiber optic,No,No,Mailed check,101.89,4686.94,1
C00020,0,12,One year,No,No,Yes,Electronic check,23.46,281.52,0
C00021,1,65,Month-to-month,No,No,Yes,Bank transfer,22.26,1446.9,0
C00022,0,23,Two year,DSL,No,No,Mailed check,67.75,1558.25,0
C00023,0,32,Two year,Fiber optic,No,No,Bank transfer,78.15,2500.8,0
C00024,0,43,One year,DSL,No,No,Bank transfer,51.67,2221.81,0
C00025,0,57,Month-to-month,Fiber optic,Yes,Yes,Bank transfer,78.61,4480.77,0
C00026,0,53,Month-to-month,Fiber optic,Yes,Yes,Bank transfer,107.0,5671.0,0
C00027,0,69,Month-to-month,DSL,No,Yes,Mailed check,72.21,4982.49,0
C00028,0,52,Month-to-month,Fiber optic,No,Yes,Bank transfer,83.63,4348.76,0
C00029,0,58,One year,No,Yes,Yes,Credit card,15.0,870.0,0
C00030,0,41,One year,DSL,No,Yes,Electronic check,57.06,2339.46,0
C00031,0,30,Two year,DSL,No,Yes,Electronic check,49.87,1496.1,0
C00032,1,66,Month-to-month,DSL,No,Yes,Credit card,45.85,3026.1,1
C00033,0,27,Month-to-month,DSL,No,Yes,Bank transfer,50.56,1365.12,0
C00034,0,45,Month-to-month,DSL,Yes,Yes,Bank transfer,42.83,1927.35,0
C00035,0,21,Month-to-month,Fiber optic,No,Yes,Electronic check,80.22,1684.62,1
C00036,0,35,Month-to-month,DSL,No,Yes,Mailed check,49.23,1723.05,0
C00037,1,26,Month-to-month,Fiber optic,No,Yes,Bank transfer,65.25,1696.5,0
C00038,0,18,Month-to-month,No,No,Yes,Credit card,16.38,294.84,0
C00039,1,59,One year,No,Yes,Yes,Electronic check,24.87,1467.33,0
C00040,0,56,Month-to-month,Fiber optic,No,Yes,Bank transfer,76.44,4280.64,0
C00041,0,51,Two year,DSL,No,No,Electronic check,57.33,2923.83,0
C00042,0,6,One year,DSL,No,Yes,Credit card,61.87,371.22,0
C00043,0,18,Month-to-month,DSL,Yes,No,Electronic check,56.21,1011.78,1
C00044,1,15,Two year,No,Yes,No,Bank transfer,21.18,317.7,0
C00045,0,51,Two year,No,No,Yes,Credit card,20.98,1069.98,0
C00046,1,65,Month-to-month,Fiber optic,No,Yes,Mailed check,85.72,5571.8,0
C00047,0,27,Month-to-month,DSL,Yes,Yes,Electronic check,23.38,631.26,0
C00048,0,24,One year,Fiber optic,No,Yes,Bank transfer,82.67,1984.08,1
C00049,1,40,Month-to-month,DSL,No,Yes,Mailed check,52.18,2087.2,0
C00050,0,72,Month-to-month,No,Yes,Yes,Bank transfer,19.98,1438.56,0
C00051,0,27,Month-to-month,DSL,No,Yes,Mailed check,41.32,1115.64,0
C00052,0,20,One year,Fiber optic,No,Yes,Mailed check,89.11,1782.2,1
C00053,0,38,One year,Fiber optic,No,Yes,Electronic check,85.31,3241.78,0
C00054,0,66,One year,DSL,Yes,No,Mailed check,88.13,5816.58,0
C00055,0,53,One year,Fiber optic,Yes,Yes,Credit card,76.2,4038.6,0
C00056,1,37,Month-to-month,No,No,Yes,Credit card,21.62,799.94,0
C00057,1,53,One year,DSL,Yes,No,Electronic check,37.02,1962.06,0
C00058,1,1,Month-to-month,Fiber optic,No,No,Electronic check,55.42,55.42,1
C00059,0,54,Month-to-month,Fiber optic,No,Yes,Credit card,107.44,5801.76,0
C00060,0,7,One year,DSL,No,Yes,Credit card,58.24,407.68,0
C00061,0,28,Month-to-month,DSL,No,Yes,Electronic check,58.4,1635.2,0
C00062,0,25,One year,DSL,No,No,Mailed check,75.48,1887.0,0
